1. Fixed telecoms tables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 1,,,,,,,,,
Summary of network access & call revenues by operator (£millions),,,,,,,,,
,,,,,,,,,
,All Operators,BT,Virgin Media,Other,,BT share,,,
2013,"46,191","18,388","7,202","20,601",,39.80%,,,
2014,"40,766","16,284","6,437","18,045",,39.90%,,,
,,,,,,,,,
2014 Q3,"9,943","4,004","1,569","4,370",,40.30%,,,
2014 Q4,"10,029","4,060","1,595","4,374",,40.50%,,,
2015 Q1,"9,992","3,974","1,564","4,454",,39.80%,,,
2015 Q2,"8,978","3,608","1,438","3,932",,40.20%,,,
2015 Q3,"8,720","3,526","1,412","3,782",,40.40%,,,
,,,,,,,,,
International calls,,,,,,,,,
2013,"3,455",622,221,"2,612",,18.00%,,,
2014,"3,015",548,203,"2,264",,18.20%,,,
,,,,,,,,,
2014 Q3,724,133,49,542,,18.40%,,,
2014 Q4,738,138,50,550,,18.70%,,,
2015 Q1,759,126,48,585,,16.60%,,,
2015 Q2,687,119,45,523,,17.30%,,,
2015 Q3,648,111,44,493,,17.10%,,,
,,,,,,,,,
Calls to mobiles,,,,,,,,,
2013,"3,351","1,326",445,"1,580",,39.60%,,,
2014,"2,940","1,187",434,"1,319",,40.40%,,,
,,,,,,,,,
2014 Q2,746,303,109,334,,40.60%,,,
2014 Q3,738,304,108,326,,41.20%,,,
2014 Q4,721,296,108,317,,41.00%,,,
2015 Q1,698,279,101,318,,40.00%,,,
2015 Q2,675,271,97,307,,40.20%,,,
2015 Q3,679,270,95,314,,39.80%,,,
,,,,,,,,,
Other calls1,,,,,,,,,
2013,"10,681","4,882","1,582","4,217",,45.70%,,,
2014,"9,028","3,965","1,318","3,745",,43.90%,,,
,,,,,,,,,
2014 Q3,"2,259","1,000",319,940,,44.30%,,,
2014 Q4,"2,124",952,292,880,,44.80%,,,
2015 Q1,"2,138",974,285,879,,45.50%,,,
2015 Q2,"1,989",903,247,839,,45.40%,,,
2015 Q3,"2,031",908,227,896,,44.70%,,,
,,,,,,,,,
"1 Includes freephone, special services, premium rate, directory enquiries and all other call types.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 11,,,,,,,,,
Summary of business network access & call revenues by operator (£millions),,,,,,,,,
,,,,,,,,,
,All Operators,BT,Virgin Media,Other,,BT share,,,
,,,,,,,,,
Access & Calls1,,,,,,,,,
2013,"2,681","1,330",84,"1,266",,49.60%,,,
2014,"2,453","1,239",77,"1,138",,50.50%,,,
,,,,,,,,,
2014 Q3,604,305,20,279,,50.50%,,,
2014 Q4,597,305,19,273,,51.10%,,,
2015 Q1,571,290,20,261,,50.80%,,,
2015 Q2,565,286,18,261,,50.60%,,,
2015 Q3,573,297,18,258,,51.80%,,,
,,,,,,,,,
Access,,,,,,,,,
2013,"1,750",983,35,732,,56.20%,,,
2014,"1,654",917,33,703,,55.50%,,,
,,,,,,,,,
2014 Q3,405,224,8,173,,55.20%,,,
2014 Q4,408,227,8,172,,55.80%,,,
2015 Q1,388,216,8,164,,55.60%,,,
2015 Q2,387,214,8,164,,55.40%,,,
2015 Q3,390,217,8,165,,55.60%,,,
,,,,,,,,,
Calls1,,,,,,,,,
2013,931,347,49,535,,37.30%,,,
2014,799,322,43,434,,40.20%,,,
,,,,,,,,,
2014 Q3,198,81,11,106,,41.10%,,,
2014 Q4,189,78,10,101,,41.10%,,,
2015 Q1,183,75,12,97,,40.80%,,,
2015 Q2,178,72,10,96,,40.40%,,,
2015 Q3,184,81,9,94,,44.00%,,,
,,,,,,,,,
Excludes VAT; 1 Revenue figures are not intended to include subscription revenues for internet access although some element may remain.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 12,,,,,,,,,
Summary of business exchange line numbers at end of quarter by operator (000's),,,,,,,,,
,,,,,,,,,
,All Operators,BT,Virgin Media,Other,,BT share,,,
,,,,,,,,,
2013,"8,466","3,877",507,"4,083",,45.80%,,,
2014,"7,988","3,549",491,"3,948",,44.40%,,,
,,,,,,,,,
2014 Q3,"8,070","3,619",497,"3,954",,44.80%,,,
2014 Q4,"7,988","3,549",491,"3,948",,44.40%,,,
2015 Q1,"7,870","3,482",484,"3,904",,44.20%,,,
2015 Q2,"7,812","3,413",482,"3,917",,43.70%,,,
2015 Q3,"7,715","3,373",473,"3,870",,43.70%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 13,,,,,,,,,
Summary of business call volumes by operator (millions of minutes),,,,,,,,,
,,,,,,,,,
,All Operators,BT1,Virgin Media,Other Direct Access,Other Indirect Access,BT share,,,
,,,,,,,,,
2013,"27,741","10,383","1,749","8,247","7,362",37.40%,,,
2014,"24,530","9,226","1,763","7,830","5,710",37.60%,,,
,,,,,,,,,
2014 Q3,"6,125","2,333",462,"1,963","1,367",38.10%,,,
2014 Q4,"5,816","2,221",388,"1,938","1,269",38.20%,,,
2015 Q1,"5,856","2,240",370,"1,986","1,260",38.30%,,,
2015 Q2,"5,693","2,115",328,"2,018","1,232",37.10%,,,
2015 Q3,"5,667","2,137",337,"1,968","1,225",37.70%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 14,,,,,,,,,
Summary of business call revenues by call type (£millions),,,,,,,,,
,,,,,,,,,
,All calls,UK geographic calls,International calls,Calls to mobiles,Other calls1,,,,
,,,,,,,,,
2014,"1,291",207,140,650,294,,,,
,,,,,,,,,
2014 Q3,226,51,28,103,44,,,,
2014 Q4,218,50,26,97,45,,,,
2015 Q1,206,46,25,93,42,,,,
2015 Q2,190,45,25,80,40,,,,
2015 Q3,192,45,24,83,41,,,,
,,,,,,,,,
"Excludes VAT; 1 Includes freephone, special services, premium rate, directory enquiries and all other call types. Figures are not intended to include subscription revenues for internet access although some element may remain.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 15,,,,,,,,,
Summary of business call volumes by call type and operator (millions of minutes),,,,,,,,,
,,,,,,,,,
,All Operators,BT,Virgin Media,Other Direct Access,Other Indirect Access,BT share,,,
,,,,,,,,,
UK geographic calls,,,,,,,,,
2013,"14,666","5,323",943,"4,586","3,813",36.30%,,,
2014,"13,354","4,882","1,102","4,350","3,019",36.60%,,,
,,,,,,,,,
2014 Q3,"3,340","1,238",288,"1,087",727,37.10%,,,
2014 Q4,"3,159","1,178",237,"1,059",685,37.30%,,,
2015 Q1,"3,117","1,180",224,"1,081",633,37.90%,,,
2015 Q2,"3,073","1,100",194,"1,119",660,35.80%,,,
2015 Q3,"3,019","1,105",195,"1,078",641,36.60%,,,
,,,,,,,,,
International calls,,,,,,,,,
2013,"1,470",357,36,853,224,24.30%,,,
2014,"1,327",335,24,794,175,25.20%,,,
,,,,,,,,,
2014 Q3,338,85,6,205,41,25.20%,,,
2014 Q4,322,81,5,199,38,25.10%,,,
2015 Q1,325,86,6,194,39,26.50%,,,
2015 Q2,310,81,5,178,46,26.20%,,,
2015 Q3,318,79,7,181,52,24.80%,,,
,,,,,,,,,
Calls to mobiles,,,,,,,,,
2013,"5,023","1,823",475,"1,053","1,672",36.30%,,,
2014,"4,328","1,713",344,"1,017","1,254",39.60%,,,
,,,,,,,,,
2014 Q3,"1,087",436,87,263,301,40.10%,,,
2014 Q4,"1,033",417,83,258,275,40.40%,,,
2015 Q1,"1,043",424,84,259,276,40.70%,,,
2015 Q2,"1,019",404,80,261,274,39.60%,,,
2015 Q3,"1,007",404,85,250,268,40.10%,,,
,,,,,,,,,
Other calls*,,,,,,,,,
2013,"6,582","2,880",295,"1,755","1,652",43.80%,,,
2014,"5,521","2,296",293,"1,670","1,262",41.60%,,,
,,,,,,,,,
2014 Q3,"1,361",574,81,408,298,42.20%,,,
2014 Q4,"1,302",545,63,423,271,41.80%,,,
2015 Q1,"1,371",550,56,453,312,40.10%,,,
2015 Q2,"1,291",530,49,460,252,41.00%,,,
2015 Q3,"1,323",549,50,460,264,41.50%,,,
,,,,,,,,,
"1 Includes freephone, special services, premium rate, directory enquiries and all other call types.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 16,,,,,,,,,
Summary of residential and small business broadband connections at end of quarter (000's)1,,,,,,,,,
,,,,,,,,,
,Total,ADSL,Cable,Other (inc. FTTx),,BT retail share,,,
,,,,,,,,,
2013,"22,807","16,057","4,394","2,356",,31.20%,,,
2014,"23,730","15,538","4,541","3,651",,32.00%,,,
,,,,,,,,,
2014 Q3,"23,411","15,557","4,484","3,370",,31.90%,,,
2014 Q4,"23,730","15,538","4,541","3,651",,32.00%,,,
2015 Q1,"24,007","15,232","4,568","4,207",,32.10%,,,
2015 Q2,"24,174","15,005","4,578","4,591",,32.30%,,,
2015 Q3,"24,402","14,778","4,632","4,991",,32.30%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2. Mobile telecoms tables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 1,,,,,,,,,
Estimated retail revenues generated by mobile telephony (£millions),,,,,,,,,
,,,,,,,,,
,Total,Access and bundled svcs,UK fixed calls,On-net mobile calls,Off-net mobile calls,Int'l calls,Other calls,SMS and MMS,Data services
,,,,,,,,,
2013,"15,498","7,826",574,316,694,637,992,"1,807","2,651"
2014,"15,242","8,332",486,375,518,598,901,"1,298","2,734"
,,,,,,,,,
2014 Q3,"3,839","2,078",123,93,130,152,228,324,711
2014 Q4,"3,861","2,173",115,93,126,151,212,314,676
2015 Q1,"3,718","1,635",104,82,109,138,"1,040",192,419
2015 Q2,"3,755","1,659",100,78,109,132,"1,043",194,439
2015 Q3,"3,800","1,701",97,77,107,124,"1,046",191,457
,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from providers; excludes revenues from interconnection.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 2,,,,,,,,,
Call and message volumes by call type (billions of minutes/messages),,,,,,,,,
,,,,,,,,,
,All calls,UK fixed calls,On-net mobile calls,Off-net mobile calls,Int'l calls,Calls when roaming,Other calls,,SMS & MMS messages
,,,,,,,,,
2013,133.73,32.36,40.57,47.04,7.92,1.74,4.1,,129.44
2014,137.36,32.07,39.29,51.59,6.98,1.72,5.71,,109.61
,,,,,,,,,
2014 Q3,34.17,7.97,9.42,12.9,1.81,0.57,1.51,,27.02
2014 Q4,35.45,8.33,9.87,13.62,1.75,0.41,1.46,,26.4
2015 Q1,35.04,8.24,9.72,13.65,1.65,0.36,1.42,,25.8
2015 Q2,35.78,8.37,9.82,13.93,1.75,0.47,1.45,,25.73
2015 Q3,34.94,8.01,9.55,13.94,1.49,0.57,1.38,,24.73
,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from providers.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 3,,,,,,,,,
Subscriber numbers by type (millions),,,,,,,,,
,,,,,,,,,
,Conns during period,,Total subs at end of period,Post-pay subs at end of period,Pre-pay subs at end of period,Net change during period,Proportion post-pay,,Mobile b'band subs at end of period
2013,32.89,,82.67,46.79,35.88,-0.49,56.60%,,4.91
2014,32.13,,83.66,49.34,34.32,0.99,59.00%,,5.2
,,,,,,,,,
2014 Q3,8.46,,83.03,48.64,34.39,0.85,58.60%,,5.09
2014 Q4,8.48,,83.66,49.34,34.32,0.63,59.00%,,5.2
2015 Q1,7.34,,83.48,49.75,33.72,-0.19,59.60%,,5.2
2015 Q2,7.73,,84.5,50.5,34,1.02,59.80%,,5.36
2015 Q3,8.26,,85.51,51.15,34.36,1.02,59.80%,,5.56
,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from providers; excludes M2M connections.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 4,,,,,,,,,
Average monthly retail revenue per subscriber (£ per month),,,,,,,,,
,,,,,,,,,
,,All subscribers,,Post-pay contract,Pre-pay,,,,
,,,,,,,,,
2013,,15.6,,24.38,5.38,,,,
2014,,15.37,,23.12,5,,,,
,,,,,,,,,
2014 Q3,,15.49,,23.11,5.21,,,,
2014 Q4,,15.44,,23.03,5.09,,,,
2015 Q1,,14.83,,22.05,4.63,,,,
2015 Q2,,14.9,,22.07,4.64,,,,
2015 Q3,,14.9,,22.05,4.77,,,,
,,,,,,,,,
Note: Revenues are only from those services detailed in Table 1 and do not include those generated by incoming calls or VAT.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 5,,,,,,,,,
Interconnection call volumes (billions of minutes),,,,,,,,,
,,,,,,,,,
,,All operators,,,,,,,
,,,,,,,,,
2013,,56.98,,,,,,,
2014,,52.89,,,,,,,
,,,,,,,,,
2014 Q3,,13.23,,,,,,,
2014 Q4,,13.49,,,,,,,
2015 Q1,,13.09,,,,,,,
2015 Q2,,12.64,,,,,,,
2015 Q3,,11.03,,,,,,,
,,,,,,,,,
Note: Shows the number of call minutes terminating on mobile networks which originate on other networks,,,,,,,,,
