"ตารางแสดงจำนวนการติดต่อเรื่องร้องทุกข์/เสนอข้อคิดเห็นที่ประชาชนแจ้งเรื่อง
ผ่านช่องทาง 1111 ของศูนย์บริการประชาชน สำนักงานปลัดสำนักนายกรัฐมนตรี",,
ในช่วงเดือนสิงหาคม 2559,,
การเมือง-การปกครอง,กล่าวโทษหรือร้องเรียนพนักงานรัฐวิสาหกิจ,1
การเมือง-การปกครอง,การดำเนินการทางวินัยแก่เจ้าหน้าที่ของรัฐ,5
การเมือง-การปกครอง,การบรรจุ แต่งตั้ง โยกย้าย เจ้าหน้าที่ของรัฐ,70
การเมือง-การปกครอง,การปฏิรูปประเทศ,30
การเมือง-การปกครอง,การปฏิรูประบบราชการ,10
การเมือง-การปกครอง,การพิจารณาบำเหน็จความชอบแก่เจ้าหน้าที่ของรัฐ,9
การเมือง-การปกครอง,การเมือง,193
การเมือง-การปกครอง,การเลื่อนตำแหน่ง,7
การเมือง-การปกครอง,การอนุญาต และสัมปทาน,23
การเมือง-การปกครอง,ขอกลับเข้ารับราชการ,6
การเมือง-การปกครอง,ข้อพิพาทอันเกิดจากการใช้อำนาจของหน่วยงานของรัฐ,30
การเมือง-การปกครอง,ปรองดอง สมานฉันท์,4
การเมือง-การปกครอง,ปัญหาความสงบเรียบร้อยภายในประเทศ,25
การเมือง-การปกครอง,ปัญหาความสัมพันธ์ระหว่างประเทศ,3
การเมือง-การปกครอง,ปัญหาชายแดน,4
การเมือง-การปกครอง,ปัญหาสัญชาติ,1
การเมือง-การปกครอง,ผลกระทบจากนโยบายและโครงการของรัฐ,442
การเมือง-การปกครอง,สวัสดิการของเจ้าหน้าที่ของรัฐ,11
การเมือง-การปกครอง,หมิ่นพระบรมเดชานุภาพ,33
รวม,,953
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,กล่าวโทษข้าราชการการเมืองและผู้ดำรงตำแหน่งทางการเมืองและผู้ดำรงตำแหน่งทางการเมืองระดับประเทศทุจริต,1
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,กล่าวโทษเจ้าหน้าที่ของรัฐในท้องถิ่นทุจริต,196
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,กล่าวโทษเจ้าหน้าที่ของรัฐในสังกัดกระทรวงกลาโหมทุจริต,2
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,กล่าวโทษเจ้าหน้าที่ของรัฐในสังกัดกระทรวงทุจริต,94
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,กล่าวโทษเจ้าหน้าที่ของรัฐในสังกัดกรุงเทพมหานครทุจริต,3
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,กล่าวโทษเจ้าหน้าที่ของรัฐในสังกัดราชการพลเรือนในพระองค์ทุจริต,1
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,กล่าวโทษเจ้าหน้าที่ของรัฐในสังกัดราชการพลเรือนในสถาบันอุดมศึกษา/ครู และบุคลากรทางการศึกษาทุจริต,15
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,กล่าวโทษเจ้าหน้าที่ของรัฐในสังกัดราชการรัฐสภา/วุฒิสภาทุจริต,1
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,กล่าวโทษเจ้าหน้าที่ของรัฐในสังกัดสำนักงานตำรวจแห่งชาติทุจริต,73
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,กล่าวโทษเจ้าหน้าที่ของรัฐในหน่วยงานอิสระ และพนักงานองค์กรมหาชนทุจริต,1
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,กล่าวโทษบุคลกรทางการแพทย์ทุจริต,3
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,กล่าวโทษพนักงานรัฐวิสาหกิจทุจริต,4
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,การประพฤติตนไม่เหมาะสมของเจ้าหน้าที่ของรัฐในท้องถิ่น,91
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,การประพฤติตนไม่เหมาะสมของเจ้าหน้าที่ของรัฐในสังกัดกระทรวง,62
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,การประพฤติตนไม่เหมาะสมของเจ้าหน้าที่ของรัฐในสังกัดกระทรวงกลาโหม,14
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,การประพฤติตนไม่เหมาะสมของเจ้าหน้าที่ของรัฐในสังกัดกรุงเทพมหานคร,3
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,การประพฤติตนไม่เหมาะสมของเจ้าหน้าที่ของรัฐในสังกัดราชการฝ่ายอัยการ,2
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,การประพฤติตนไม่เหมาะสมของเจ้าหน้าที่ของรัฐในสังกัดราชการพลเรือนในพระองค์,1
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,การประพฤติตนไม่เหมาะสมของเจ้าหน้าที่ของรัฐในสังกัดราชการพลเรือนในสถาบันอุดมศึกษา/ครู และบุคลากรทางการศึกษา,24
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,การประพฤติตนไม่เหมาะสมของเจ้าหน้าที่ของรัฐในสังกัดสำนักงานตำรวจแห่งชาติ,81
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,การประพฤติตนไม่เหมาะสมของเจ้าหน้าที่ของรัฐในหน่วยงานอิสระ และพนักงานองค์การมหาชน,4
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,การประพฤติตนไม่เหมาะสมของบุคลากรทางการแพทย์,8
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,การประพฤติตนไม่เหมาะสมของพนักงานรัฐวิสาหกิจ,9
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,7
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,ร้องเรียนการให้บริการของเจ้าหน้าที่ของรัฐในท้องถิ่น,32
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,ร้องเรียนการให้บริการของเจ้าหน้าที่ของรัฐในสังกัดกระทรวง,143
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,ร้องเรียนการให้บริการของเจ้าหน้าที่ของรัฐในสังกัดกระทรวงกลาโหม,5
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,ร้องเรียนการให้บริการของเจ้าหน้าที่ของรัฐในสังกัดกรุงเทพมหานคร,9
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,ร้องเรียนการให้บริการของเจ้าหน้าที่ของรัฐในสังกัดราชการฝ่ายตุลาการ,1
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,ร้องเรียนการให้บริการของเจ้าหน้าที่ของรัฐในสังกัดราชการพลเรือนในสถาบันอุดมศึกษา/ครู และบุคลากรทางการศึกษา,10
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,ร้องเรียนการให้บริการของเจ้าหน้าที่ของรัฐในสังกัดสำนักงานตำรวจแห่งชาติ,131
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,ร้องเรียนการให้บริการของเจ้าหน้าที่ของรัฐในหน่วยงานอิสระ และพนักงานองค์การมหาชน,5
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,ร้องเรียนการให้บริการของบุคลกรทางการแพทย์,61
การร้องเรียนกล่าวโทษเจ้าหน้าที่ของรัฐ,ร้องเรียนการให้บริการของพนักงานรัฐวิสาหกิจ,34
รวม,,"1,131"
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,การจัดที่ดินและชุมชนในพื้นที่ป่า,3
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,การตัดไม้ ทำลายป่า,19
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,การบริหารจัดการน้ำและประปาสัมปทาน,1
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,การบริหารจัดการแหล่งน้ำ,15
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,การบุกรุกที่ดินและการใช้ที่ดินในเขตอุทยาน,1
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,การบุกรุกพื้นที่ป่าสงวน,17
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,การบุกรุกพื้นที่ป่าอนุรักษ์ / อุทยาน / เขตห้ามล่า,5
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,การลักลอบค้าสัตว์ป่า และการล่าสัตว์ป่า ปัญหาช้างเร่ร่อน และช้างป่า,11
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,ขยะมูลฝอยและสิ่งปฏิกูล,37
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,ของเสียอันตราย / สารอันตราย,6
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,คุณภาพน้ำบาดาล,1
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,ด้านการตรวจสอบทรัพยากรธรณี,1
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,น้ำเสียเกษตรกรรม,3
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,น้ำเสียชุมชน,6
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,น้ำเสียอุตสาหกรรม,8
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,ปัญหาการวิเคราะห์ผลกระทบสิ่งแวดล้อม,1
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,ปัญหาที่เกิดจากการดำเนินงานโครงการ,4
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,ปัญหาในพื้นที่คุ้มครองสิ่งแวดล้อม,1
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,ปัญหาสิ่งแวดล้อมธรรมชาติและสิ่งแวดล้อมศิลปกรรม,2
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,ป่าชายเลน,2
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,ไฟป่าในเขตพื้นที่ป่า,2
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,มลพิษทางอากาศจากยานพาหนะ,2
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,มลพิษทางอากาศจากอุตสาหกรรม,8
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,วิกฤตน้ำ (อุทกภัย + ภัยแล้ง),107
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,วิกฤตน้ำบาดาล,3
รวม,,266
พ.ร.บ. อำนวยความสะดวก,ไม่มีการเผยแพร่คู่มือสำหรับประชาชน,1
พ.ร.บ. อำนวยความสะดวก,ร้องเรียนเรื่องอื่นๆ,8
รวม,,9
สังคมและสวัสดิการ,การขอให้จัดหางาน,23
สังคมและสวัสดิการ,การค้าประเวณี  โสเภณี,41
สังคมและสวัสดิการ,การใช้แรงงานเด็กและสตรี,2
สังคมและสวัสดิการ,การบริการขนส่งทางน้ำ,4
สังคมและสวัสดิการ,การบริการขนส่งทางบก,123
สังคมและสวัสดิการ,การบริการขนส่งทางอากาศ,4
สังคมและสวัสดิการ,การบริการรถสาธารณะ,149
สังคมและสวัสดิการ,การบุกรุกที่ดินของรัฐ,89
สังคมและสวัสดิการ,การปฏิรูปที่ดิน,5
สังคมและสวัสดิการ,การเผยแผ่ ทำนุบำรุง อนุรักษ์ศาสนาและศิลปวัฒนธรรม,20
สังคมและสวัสดิการ,การรักษาพยาบาล,41
สังคมและสวัสดิการ,การลงทะเบียนออกบัตรทอง,2
สังคมและสวัสดิการ,การเวนคืนที่ดิน,2
สังคมและสวัสดิการ,การศึกษาต่อต่างประเทศ,3
สังคมและสวัสดิการ,การศึกษาต่อในสถาบันการศึกษาภายในประเทศ,6
สังคมและสวัสดิการ,การส่งต่อผู้ป่วย,2
สังคมและสวัสดิการ,การให้บริการทางการแพทย์ของบัตรทอง,8
สังคมและสวัสดิการ,การให้บริการทางการแพทย์ของประกันสังคม,4
สังคมและสวัสดิการ,ขอจัดตั้งบูรณะศาสนสถาน โบราณสถาน พิพิธภัณฑ์และหอสมุด,6
สังคมและสวัสดิการ,ขอที่ดินหรือสิทธิการใช้ประโยชน์ในที่ดิน,72
สังคมและสวัสดิการ,ขอทุนการศึกษา,7
สังคมและสวัสดิการ,ขอบัตรรับรองสิทธิประกันสังคม,1
สังคมและสวัสดิการ,ข้อพิพาทเกี่ยวกับที่อยู่อาศัย,41
สังคมและสวัสดิการ,ข้อพิพาทเกี่ยวกับแรงงาน,14
สังคมและสวัสดิการ,ข้อพิพาทเรื่องสิทธิที่ดิน,88
สังคมและสวัสดิการ,ขอสนับสนุนอุปกรณ์ / สนามกีฬา,4
สังคมและสวัสดิการ,ขอสร้าง ซ่อมแซมสถานพยาบาล และสนับสนุนอุปกรณ์ทางการแพทย์,4
สังคมและสวัสดิการ,ขอสร้าง ซ่อมแซมอาคารเรียน,2
สังคมและสวัสดิการ,ขอหนังสือแสดงสิทธิในที่ดิน,40
สังคมและสวัสดิการ,ขอให้จัดหาที่อยู่อาศัย,31
สังคมและสวัสดิการ,ขอให้ซ่อมแซมที่อยู่อาศัย,27
สังคมและสวัสดิการ,ขออัตราบุคลากรทางการศึกษา,3
สังคมและสวัสดิการ,ขออุปกรณ์การศึกษา,1
สังคมและสวัสดิการ,คนเร่ร่อน,24
สังคมและสวัสดิการ,ความประพฤติของสงฆ์,21
สังคมและสวัสดิการ,ค่าจ้างและสวัสดิการ,18
สังคมและสวัสดิการ,โจรกรรม - อาชญากรรม,18
สังคมและสวัสดิการ,ฌาปนกิจสงเคราะห์,6
สังคมและสวัสดิการ,เด็กและเยาวชน,1
สังคมและสวัสดิการ,ถนน,245
สังคมและสวัสดิการ,ทะเบียนราษฎร์,7
สังคมและสวัสดิการ,ทะเลาะวิวาท,16
สังคมและสวัสดิการ,ทารุณกรรมเด็ก สตรี และผู้สูงอายุ,1
สังคมและสวัสดิการ,โทรศัพท์,168
สังคมและสวัสดิการ,น้ำประปา,175
สังคมและสวัสดิการ,บ่อนการพนัน,351
สังคมและสวัสดิการ,บัตรประจำตัวประชาชน,11
สังคมและสวัสดิการ,ใบอนุญาตที่ทางราชการออกให้,48
สังคมและสวัสดิการ,ประโยชน์ทดแทน,27
สังคมและสวัสดิการ,ไปรษณีย์,15
สังคมและสวัสดิการ,ผู้มีอิทธิพล  ข่มขู่ รีดไถ,69
สังคมและสวัสดิการ,พนันกีฬา,41
สังคมและสวัสดิการ,ไฟฟ้า,507
สังคมและสวัสดิการ,ยาเสพติด,390
สังคมและสวัสดิการ,ระบบการให้บริการของสถานพยาบาล,24
สังคมและสวัสดิการ,ร้านเกมส์ อินเตอร์เน็ต,13
สังคมและสวัสดิการ,แรงงานต่างด้าว,176
สังคมและสวัสดิการ,วิทยุ - โทรทัศน์,40
สังคมและสวัสดิการ,ศาสนาและลัทธิอื่น,7
สังคมและสวัสดิการ,สตรี,1
สังคมและสวัสดิการ,สถานบันเทิง,70
สังคมและสวัสดิการ,สลากกินแบ่งรัฐบาล,116
สังคมและสวัสดิการ,สลากกินรวบ,114
สังคมและสวัสดิการ,สวัสดิการสงเคราะห์เด็กและสตรี,8
สังคมและสวัสดิการ,สวัสดิการสงเคราะห์ทหารผ่านศึก,1
สังคมและสวัสดิการ,สวัสดิการสงเคราะห์ผู้ด้อยโอกาส,93
สังคมและสวัสดิการ,สวัสดิการสงเคราะห์ผู้ได้รับผลกระทบจากการก่อการร้าย,2
สังคมและสวัสดิการ,สวัสดิการสงเคราะห์ผู้ต้องขัง,1
สังคมและสวัสดิการ,สวัสดิการสงเคราะห์ผู้ประสบภัย,2
สังคมและสวัสดิการ,สวัสดิการสงเคราะห์ผู้พิการ,74
สังคมและสวัสดิการ,สวัสดิการสงเคราะห์ผู้สูงอายุ,21
สังคมและสวัสดิการ,สื่อลามกอนาจาร,8
สังคมและสวัสดิการ,สุรา ยาสูบ,31
สังคมและสวัสดิการ,หนังสือเดินทาง,2
สังคมและสวัสดิการ,หลักสูตรการศึกษา,41
สังคมและสวัสดิการ,หาบเร่แผงลอย,42
สังคมและสวัสดิการ,เหตุเดือดร้อนรำคาญ,"1,271"
สังคมและสวัสดิการ,แหล่งมั่วสุม,24
สังคมและสวัสดิการ,อาหาร ยา เวชภัณฑ์ และเครื่องสำอาง,28
สังคมและสวัสดิการ,อินเตอร์เน็ต,28
สังคมและสวัสดิการ,อื่น ๆ,84
รวม,,"5,350"
รวมทั้งสิ้น,,"9,101"
